Club (Country),Domestic Champion
1. Arsenal (ENG),0
2. Astana (KAZ),0
3. Atlético (ESP),0
4. Barcelona (ESP),1
5. BATE (BLR),0
6. Bayern (GER),1
7. Benfica (POR),1
8. Chelsea (ENG),1
9. CSKA Moskva (RUS),0
10. Dinamo Zagreb (CRO),0
11. Dynamo Kyiv (UKR),0
12. Galatasaray (TUR),0
13. Gent (BEL),0
14. Juventus (ITA),1
15. Leverkusen (GER),0
16. Lyon (FRA),0
17. M. Tel-Aviv (ISR),0
18. Malmö (SWE),0
19. Man. City (ENG),0
20. Man. United (ENG),0
21. Mönchengladbach (GER),0
22. Olympiacos (GRE),0
23. Paris (FRA),1
24. Porto (POR),0
25. PSV (NED),1
26. Real Madrid (ESP),0
27. Roma (ITA),0
28. Sevilla (ESP),0
29. Shakhtar Donetsk (UKR),0
30. Valencia (ESP),0
31. Wolfsburg (GER),0
32. Zenit (RUS),1
